time,event_type,vehicle_id,node
288,charge_unreachable,2,6376552501
289,charge_unreachable,2,6376552501
290,charge_unreachable,2,6376552501
291,charge_unreachable,2,6376552501
292,charge_unreachable,2,6376552501
293,charge_unreachable,2,6376552501
294,charge_unreachable,2,6376552501
295,charge_unreachable,2,6376552501
296,charge_unreachable,2,6376552501
296,charge_unreachable,4,6376552501
297,charge_unreachable,2,6376552501
297,charge_unreachable,4,6376552501
298,charge_unreachable,2,6376552501
298,charge_unreachable,4,6376552501
299,charge_unreachable,2,6376552501
299,charge_unreachable,4,6376552501
300,charge_unreachable,2,6376552501
300,charge_unreachable,4,6376552501
301,charge_unreachable,2,6376552501
301,charge_unreachable,4,6376552501
302,charge_unreachable,2,6376552501
302,charge_unreachable,4,6376552501
303,charge_unreachable,2,6376552501
303,charge_unreachable,4,6376552501
304,charge_unreachable,2,6376552501
304,charge_unreachable,4,6376552501
305,charge_unreachable,2,6376552501
305,charge_unreachable,4,6376552501
306,charge_unreachable,2,6376552501
306,charge_unreachable,4,6376552501
307,charge_unreachable,2,6376552501
307,charge_unreachable,4,6376552501
308,charge_unreachable,2,6376552501
308,charge_unreachable,4,6376552501
309,charge_unreachable,2,6376552501
309,charge_unreachable,4,6376552501
310,charge_unreachable,2,6376552501
310,charge_unreachable,4,6376552501
311,charge_unreachable,2,6376552501
311,charge_unreachable,4,6376552501
312,charge_unreachable,2,6376552501
312,charge_unreachable,4,6376552501
313,charge_unreachable,2,6376552501
313,charge_unreachable,4,6376552501
314,charge_unreachable,2,6376552501
314,charge_unreachable,4,6376552501
315,charge_unreachable,2,6376552501
315,charge_unreachable,4,6376552501
316,charge_unreachable,2,6376552501
316,charge_unreachable,4,6376552501
317,charge_unreachable,2,6376552501
317,charge_unreachable,4,6376552501
318,charge_unreachable,2,6376552501
318,charge_unreachable,4,6376552501
319,charge_unreachable,2,6376552501
319,charge_unreachable,4,6376552501
320,charge_unreachable,2,6376552501
320,charge_unreachable,4,6376552501
321,charge_unreachable,2,6376552501
321,charge_unreachable,4,6376552501
322,charge_unreachable,2,6376552501
322,charge_unreachable,4,6376552501
323,charge_unreachable,2,6376552501
323,charge_unreachable,4,6376552501
324,charge_unreachable,2,6376552501
324,charge_unreachable,4,6376552501
325,charge_unreachable,2,6376552501
325,charge_unreachable,4,6376552501
326,charge_unreachable,2,6376552501
326,charge_unreachable,4,6376552501
327,charge_unreachable,2,6376552501
327,charge_unreachable,4,6376552501
328,charge_unreachable,2,6376552501
328,charge_unreachable,4,6376552501
329,charge_unreachable,2,6376552501
329,charge_unreachable,4,6376552501
330,charge_unreachable,2,6376552501
330,charge_unreachable,4,6376552501
331,charge_unreachable,2,6376552501
331,charge_unreachable,4,6376552501
332,charge_unreachable,2,6376552501
332,charge_unreachable,4,6376552501
333,charge_unreachable,2,6376552501
333,charge_unreachable,4,6376552501
334,charge_unreachable,2,6376552501
334,charge_unreachable,4,6376552501
335,charge_unreachable,2,6376552501
335,charge_unreachable,4,6376552501
336,charge_unreachable,2,6376552501
336,charge_unreachable,4,6376552501
337,charge_unreachable,2,6376552501
337,charge_unreachable,4,6376552501
338,charge_unreachable,2,6376552501
338,charge_unreachable,4,6376552501
339,charge_unreachable,2,6376552501
339,charge_unreachable,4,6376552501
340,charge_unreachable,2,6376552501
340,charge_unreachable,4,6376552501
341,charge_unreachable,2,6376552501
341,charge_unreachable,4,6376552501
342,charge_unreachable,2,6376552501
342,charge_unreachable,4,6376552501
343,charge_unreachable,2,6376552501
343,charge_unreachable,4,6376552501
344,charge_unreachable,2,6376552501
344,charge_unreachable,4,6376552501
345,charge_unreachable,2,6376552501
345,charge_unreachable,4,6376552501
346,charge_unreachable,2,6376552501
346,charge_unreachable,4,6376552501
347,charge_unreachable,2,6376552501
347,charge_unreachable,4,6376552501
348,charge_unreachable,2,6376552501
348,charge_unreachable,4,6376552501
349,charge_unreachable,2,6376552501
349,charge_unreachable,4,6376552501
350,charge_unreachable,2,6376552501
350,charge_unreachable,4,6376552501
351,charge_unreachable,2,6376552501
351,charge_unreachable,4,6376552501
352,charge_unreachable,2,6376552501
352,charge_unreachable,4,6376552501
353,charge_unreachable,2,6376552501
353,charge_unreachable,4,6376552501
354,charge_unreachable,2,6376552501
354,charge_unreachable,4,6376552501
355,charge_unreachable,2,6376552501
355,charge_unreachable,4,6376552501
356,charge_unreachable,2,6376552501
356,charge_unreachable,4,6376552501
357,charge_unreachable,2,6376552501
357,charge_unreachable,4,6376552501
358,charge_unreachable,2,6376552501
358,charge_unreachable,4,6376552501
359,charge_unreachable,2,6376552501
359,charge_unreachable,4,6376552501
