time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
138,2816.3576,1,32,2,0,67.4395
139,2910.8549,1,33,2,0,67.2891
140,3002.8832,1,34,2,0,67.0938
141,3002.8832,1,34,2,0,66.7938
142,3002.8832,1,34,2,0,66.4938
143,3002.8832,1,34,2,0,66.0438
144,3095.6645,1,35,2,0,65.4907
145,3175.1104,1,36,2,0,65.0645
146,3175.1104,1,36,2,0,64.5275
147,3359.8506,1,38,2,0,64.6675
148,3359.8506,1,38,2,0,64.922
149,3359.8506,1,38,2,0,64.5589
150,3359.8506,1,38,2,0,64.8589
151,3359.8506,1,38,2,0,65.0558
152,3359.8506,2,38,2,0,65.4487
153,3449.7903,2,39,2,0,65.572
154,3449.7903,2,39,2,0,65.572
155,3449.7903,2,39,2,0,65.572
156,3449.7903,2,39,2,0,65.572
157,3449.7903,2,39,2,0,65.572
158,3634.9367,2,41,2,0,65.7462
159,3634.9367,1,41,2,0,65.7462
160,3634.9367,1,41,2,0,65.7462
161,3809.7647,3,43,2,0,65.8842
162,3809.7647,3,43,2,0,65.8842
163,3809.7647,3,43,2,0,66.0075
164,3809.7647,2,43,2,0,65.2633
165,3809.7647,3,43,2,0,64.6636
166,3809.7647,2,43,2,0,64.6636
167,3893.8457,2,44,2,0,64.1316
168,3988.7299,2,45,2,0,63.4123
169,3988.7299,2,45,2,0,62.6623
170,4081.1118,2,46,2,0,62.1034
171,4081.1118,2,46,2,0,61.4403
172,4081.1118,2,46,2,0,61.4403
173,4164.3302,4,47,2,0,61.5601
174,4164.3302,4,47,2,0,61.7044
175,4104.3302,2,47,3,0,61.7044
176,4193.9519,2,48,3,0,61.8018
177,4370.7757,1,50,3,0,62.0194
178,4370.7757,0,50,3,0,62.0194
179,4465.9642,0,51,3,0,62.1675
180,4465.9642,0,51,3,0,62.1675
181,4465.9642,0,51,3,0,62.1675
182,4465.9642,1,51,3,0,62.2643
183,4555.9045,0,52,3,0,61.708
184,4648.2306,2,53,3,0,61.9937
185,4648.2306,1,53,3,0,61.9937
186,4648.2306,2,53,3,0,62.1168
187,4648.2306,1,53,3,0,62.1653
188,4648.2306,0,53,3,0,61.685
189,4648.2306,0,53,3,0,61.3239
190,4741.9428,0,54,3,0,60.9456
191,4741.9428,0,54,3,0,61.3833
192,4741.9428,0,54,3,0,61.7702
193,4830.1152,0,55,3,0,62.7156
194,4921.8853,0,56,3,0,63.7106
195,4921.8853,0,56,3,0,64.6106
196,4921.8853,0,56,3,0,65.4126
197,5102.6373,0,58,3,0,66.4713
198,5102.6373,0,58,3,0,67.3713
199,5102.6373,0,58,3,0,67.5213
200,5102.6373,0,58,3,0,67.6713
