time,event_type,vehicle_id,node,battery,status,assigned_task,target_station,total_distance,total_score
17,step,4,4348019320,115.5,moving_to_task,19,,4.5,0.0
18,step,0,4553957982,105.4142,moving_to_depot,,,14.5858,90.5485
18,step,1,2649733434,108.8991,moving_to_depot,,,11.1009,93.0395
18,step,2,4085203281,110.6421,moving_to_depot,,,9.3579,96.4853
18,step,3,5734868409,109.5873,moving_to_depot,,,10.4127,95.8524
18,step,4,4348019384,114.0,moving_to_task,19,,6.0,0.0
19,reach_depot,2,1347774990,110.2843,idle,,,9.7157,96.4853
19,reach_depot,3,1347774990,108.1746,idle,,,11.8254,95.8524
19,step,0,527981270,103.9142,moving_to_depot,,,16.0858,90.5485
19,step,1,12237344588,107.3991,moving_to_depot,,,12.6009,93.0395
19,step,2,1347774990,110.2843,idle,,,9.7157,96.4853
19,step,3,1347774990,108.1746,idle,,,11.8254,95.8524
19,step,4,9007470357,112.5,moving_to_task,19,,7.5,0.0
20,dispatch,2,1347774990,110.2843,moving_to_task,2,,9.7157,96.4853
20,dispatch,3,1347774990,108.1746,moving_to_task,8,,11.8254,95.8524
20,step,0,527981270,102.4142,moving_to_depot,,,17.5858,90.5485
20,step,1,9044755075,105.8991,moving_to_depot,,,14.1009,93.0395
20,step,2,4857888790,108.7843,moving_to_task,2,,11.2157,96.4853
20,step,3,4857831901,106.6746,moving_to_task,8,,13.3254,95.8524
20,step,4,9007470364,111.0,moving_to_task,19,,9.0,0.0
21,step,0,527981062,100.9142,moving_to_depot,,,19.0858,90.5485
21,step,1,5734868134,104.3991,moving_to_depot,,,15.6009,93.0395
21,step,2,4464272153,107.2843,moving_to_task,2,,12.7157,96.4853
21,step,3,4084631543,105.1746,moving_to_task,8,,14.8254,95.8524
21,step,4,3768977741,109.5,moving_to_task,19,,10.5,0.0
22,step,0,8430643174,99.4142,moving_to_depot,,,20.5858,90.5485
22,step,1,5958543643,102.8991,moving_to_depot,,,17.1009,93.0395
22,step,2,1209269876,105.7843,moving_to_task,2,,14.2157,96.4853
22,step,3,4084631505,103.6746,moving_to_task,8,,16.3254,95.8524
22,step,4,3768977542,108.0,moving_to_task,19,,12.0,0.0
23,step,0,1995745326,97.9142,moving_to_depot,,,22.0858,90.5485
23,step,1,1347775038,101.3991,moving_to_depot,,,18.6009,93.0395
23,step,2,279960963,104.2843,moving_to_task,2,,15.7157,96.4853
23,step,3,4083274991,102.1746,moving_to_task,8,,17.8254,95.8524
23,step,4,3766976398,106.5,moving_to_task,19,,13.5,0.0
24,reach_depot,1,1347774990,100.7982,idle,,,19.2018,93.0395
24,step,0,8564016021,96.4142,moving_to_depot,,,23.5858,90.5485
24,step,1,1347774990,100.7982,idle,,,19.2018,93.0395
24,step,2,9657341789,102.7843,moving_to_task,2,,17.2157,96.4853
24,step,3,4083142997,100.6746,moving_to_task,8,,19.3254,95.8524
24,step,4,2353405967,105.0,moving_to_task,19,,15.0,0.0
25,dispatch,1,1347774990,100.7982,moving_to_task,9,,19.2018,93.0395
25,step,0,4857888787,94.9142,moving_to_depot,,,25.0858,90.5485
25,step,1,4857831901,99.2982,moving_to_task,9,,20.7018,93.0395
25,step,2,9083447933,101.2843,moving_to_task,2,,18.7157,96.4853
25,step,3,12178369626,99.1746,moving_to_task,8,,20.8254,95.8524
25,step,4,2110592874,103.5,moving_to_task,19,,16.5,0.0
26,reach_depot,0,1347774990,93.8284,idle,,,26.1716,90.5485
26,step,0,1347774990,93.8284,idle,,,26.1716,90.5485
26,step,1,1995744951,97.7982,moving_to_task,9,,22.2018,93.0395
26,step,2,5415569726,99.7843,moving_to_task,2,,20.2157,96.4853
26,step,3,705894543,97.6746,moving_to_task,8,,22.3254,95.8524
26,step,4,13428642347,102.0,moving_to_task,19,,18.0,0.0
27,dispatch,0,1347774990,93.8284,moving_to_task,17,,26.1716,90.5485
27,step,0,9480716597,92.3284,moving_to_task,17,,27.6716,90.5485
27,step,1,1995744781,96.2982,moving_to_task,9,,23.7018,93.0395
27,step,2,12201054037,98.2843,moving_to_task,2,,21.7157,96.4853
27,step,3,705816831,96.1746,moving_to_task,8,,23.8254,95.8524
27,step,4,13428728755,100.5,moving_to_task,19,,19.5,0.0
28,task_finish,1,11701102943,95.7779,moving_to_task,,,24.2221,189.4273
28,move_to_depot,1,11701102943,95.7779,moving_to_depot,,,24.2221,189.4273
28,task_finish,2,7087277726,97.9964,moving_to_task,,,22.0036,187.1126
28,move_to_depot,2,7087277726,97.9964,moving_to_depot,,,22.0036,187.1126
28,task_finish,3,705816727,95.7828,moving_to_task,,,24.2172,186.6173
28,move_to_depot,3,705816727,95.7828,moving_to_depot,,,24.2172,186.6173
28,step,0,5316143334,90.8284,moving_to_task,17,,29.1716,90.5485
28,step,1,11701102943,95.7779,moving_to_depot,,,24.2221,189.4273
28,step,2,7087277726,97.9964,moving_to_depot,,,22.0036,187.1126
28,step,3,705816727,95.7828,moving_to_depot,,,24.2172,186.6173
28,step,4,13440119082,99.0,moving_to_task,19,,21.0,0.0
29,step,0,8321089099,89.3284,moving_to_task,17,,30.6716,90.5485
29,step,1,1183402982,94.2779,moving_to_depot,,,25.7221,189.4273
29,step,2,5515699721,96.4964,moving_to_depot,,,23.5036,187.1126
29,step,3,705894537,94.2828,moving_to_depot,,,25.7172,186.6173
29,step,4,13440119251,97.5,moving_to_task,19,,22.5,0.0
30,step,0,8890471777,87.8284,moving_to_task,17,,32.1716,90.5485
30,step,1,1995745159,92.7779,moving_to_depot,,,27.2221,189.4273
30,step,2,9249543810,94.9964,moving_to_depot,,,25.0036,187.1126
30,step,3,12187786734,92.7828,moving_to_depot,,,27.2172,186.6173
30,step,4,8589230798,96.0,moving_to_task,19,,24.0,0.0
31,step,0,11842554731,86.3284,moving_to_task,17,,33.6716,90.5485
31,step,1,4857888776,91.2779,moving_to_depot,,,28.7221,189.4273
31,step,2,10765526566,93.4964,moving_to_depot,,,26.5036,187.1126
31,step,3,4083275033,91.2828,moving_to_depot,,,28.7172,186.6173
31,step,4,4456154535,94.5,moving_to_task,19,,25.5,0.0
32,reach_depot,1,1347774990,90.7576,idle,,,29.2424,189.4273
32,step,0,12918749519,84.8284,moving_to_task,17,,35.1716,90.5485
32,step,1,1347774990,90.7576,idle,,,29.2424,189.4273
32,step,2,9657343523,91.9964,moving_to_depot,,,28.0036,187.1126
32,step,3,4083274995,89.7828,moving_to_depot,,,30.2172,186.6173
32,step,4,4456154559,93.0,moving_to_task,19,,27.0,0.0
33,dispatch,1,1347774990,90.7576,moving_to_task,15,,29.2424,189.4273
33,task_finish,0,12918749506,84.7052,moving_to_task,,,35.2948,182.6746
33,move_to_depot,0,12918749506,84.7052,moving_to_depot,,,35.2948,182.6746
33,step,0,12918749506,84.7052,moving_to_depot,,,35.2948,182.6746
33,step,1,12231110923,89.2576,moving_to_task,15,,30.7424,189.4273
33,step,2,1995745391,90.4964,moving_to_depot,,,29.5036,187.1126
33,step,3,4084631494,88.2828,moving_to_depot,,,31.7172,186.6173
33,step,4,4456154545,91.5,moving_to_task,19,,28.5,0.0
34,task_finish,4,8589262764,90.8727,moving_to_task,,,29.1273,78.7236
34,move_to_depot,4,8589262764,90.8727,moving_to_depot,,,29.1273,78.7236
34,step,0,627275670,83.2052,moving_to_depot,,,36.7948,182.6746
34,step,1,4084705516,87.7576,moving_to_task,15,,32.2424,189.4273
34,step,2,1995745281,88.9964,moving_to_depot,,,31.0036,187.1126
34,step,3,4094974266,86.7828,moving_to_depot,,,33.2172,186.6173
34,step,4,8589262764,90.8727,moving_to_depot,,,29.1273,78.7236
35,task_finish,1,4084888936,86.465,moving_to_task,,,33.535,286.2517
