time,station_id,node_id,queue_length,occupied_piles,waiting_vehicles,charging_slots
0,0,2896525936,0,0,[],"[None, None]"
0,1,5229674646,0,0,[],"[None, None]"
0,2,5318075316,0,0,[],"[None, None]"
0,3,9083346991,0,0,[],"[None, None]"
0,4,2212686561,0,0,[],"[None, None]"
0,5,13403837890,0,0,[],"[None, None]"
0,6,11780099853,0,0,[],"[None, None]"
0,7,8311429790,0,0,[],"[None, None]"
0,8,2189504431,0,0,[],"[None, None]"
0,9,12184400264,0,0,[],"[None, None]"
0,10,8524589575,0,0,[],"[None, None]"
0,11,4638394171,0,0,[],"[None, None]"
0,12,12607605906,0,0,[],"[None, None]"
0,13,5227839640,0,0,[],"[None, None]"
0,14,8567221411,0,0,[],"[None, None]"
0,15,5227839750,0,0,[],"[None, None]"
0,16,2183271343,0,0,[],"[None, None]"
0,17,12772227058,0,0,[],"[None, None]"
0,18,12772227059,0,0,[],"[None, None]"
0,19,12772227060,0,0,[],"[None, None]"
0,20,12772227061,0,0,[],"[None, None]"
0,21,12772227062,0,0,[],"[None, None]"
0,22,6854581441,0,0,[],"[None, None]"
0,23,5315933054,0,0,[],"[None, None]"
0,24,12798065832,0,0,[],"[None, None]"
0,25,12774584141,0,0,[],"[None, None]"
0,26,12774691148,0,0,[],"[None, None]"
0,27,12774691150,0,0,[],"[None, None]"
0,28,12774691151,0,0,[],"[None, None]"
0,29,12774691152,0,0,[],"[None, None]"
0,30,12774691153,0,0,[],"[None, None]"
0,31,12774691154,0,0,[],"[None, None]"
0,32,12776127683,0,0,[],"[None, None]"
0,33,12776127684,0,0,[],"[None, None]"
0,34,6386646158,0,0,[],"[None, None]"
0,35,12776127686,0,0,[],"[None, None]"
0,36,12776127687,0,0,[],"[None, None]"
0,37,12776127688,0,0,[],"[None, None]"
0,38,12776127689,0,0,[],"[None, None]"
0,39,12776127690,0,0,[],"[None, None]"
0,40,12776127691,0,0,[],"[None, None]"
0,41,4084644936,0,0,[],"[None, None]"
0,42,1174948856,0,0,[],"[None, None]"
0,43,5227263043,0,0,[],"[None, None]"
0,44,3359333919,0,0,[],"[None, None]"
0,45,8293663947,0,0,[],"[None, None]"
0,46,12777982601,0,0,[],"[None, None]"
0,47,8341547329,0,0,[],"[None, None]"
0,48,5232087693,0,0,[],"[None, None]"
0,49,8564126435,0,0,[],"[None, None]"
0,50,8564126440,0,0,[],"[None, None]"
0,51,8564126438,0,0,[],"[None, None]"
0,52,6417062246,0,0,[],"[None, None]"
0,53,8261604036,0,0,[],"[None, None]"
0,54,8563847378,0,0,[],"[None, None]"
0,55,12248565005,0,0,[],"[None, None]"
0,56,13109905631,0,0,[],"[None, None]"
1,0,2896525936,0,0,[],"[None, None]"
1,1,5229674646,0,0,[],"[None, None]"
1,2,5318075316,0,0,[],"[None, None]"
1,3,9083346991,0,0,[],"[None, None]"
1,4,2212686561,0,0,[],"[None, None]"
1,5,13403837890,0,0,[],"[None, None]"
1,6,11780099853,0,0,[],"[None, None]"
1,7,8311429790,0,0,[],"[None, None]"
1,8,2189504431,0,0,[],"[None, None]"
1,9,12184400264,0,0,[],"[None, None]"
1,10,8524589575,0,0,[],"[None, None]"
1,11,4638394171,0,0,[],"[None, None]"
1,12,12607605906,0,0,[],"[None, None]"
1,13,5227839640,0,0,[],"[None, None]"
1,14,8567221411,0,0,[],"[None, None]"
1,15,5227839750,0,0,[],"[None, None]"
1,16,2183271343,0,0,[],"[None, None]"
1,17,12772227058,0,0,[],"[None, None]"
1,18,12772227059,0,0,[],"[None, None]"
1,19,12772227060,0,0,[],"[None, None]"
1,20,12772227061,0,0,[],"[None, None]"
