time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
110,2101.653,1,24,2,0,71.0712
111,2101.653,1,24,2,0,70.9842
112,2101.653,1,24,2,0,71.5842
113,2101.653,1,24,2,0,72.1842
114,2189.8919,1,25,2,0,72.8073
115,2368.6816,1,27,2,0,73.6556
116,2368.6816,1,27,2,0,74.2556
117,2368.6816,1,27,2,0,74.5556
118,2368.6816,1,27,2,0,74.7056
119,2452.1451,1,28,2,0,74.9995
120,2452.1451,1,28,2,0,74.5495
121,2452.1451,1,28,2,0,74.0995
122,2452.1451,1,28,2,0,73.6495
123,2545.0897,1,29,2,0,73.4029
124,2638.0923,1,30,2,0,73.0366
125,2638.0923,1,30,2,0,72.6098
126,2638.0923,1,30,2,0,72.3098
127,2638.0923,1,30,2,0,71.2598
128,2638.0923,1,30,2,0,70.3288
129,2732.3406,1,31,2,0,69.5369
130,2732.3406,1,31,2,0,68.711
131,2732.3406,1,31,2,0,67.9817
132,2815.8392,1,32,2,0,68.1314
133,2815.8392,1,32,2,0,67.9814
134,2815.8392,1,32,2,0,67.6925
135,2815.8392,1,32,2,0,67.6864
136,2815.8392,1,32,2,0,67.6864
137,2815.8392,1,32,2,0,67.6864
138,2815.8392,1,32,2,0,67.3864
139,2910.3365,1,33,2,0,67.236
140,3002.3648,1,34,2,0,67.0407
141,3002.3648,1,34,2,0,66.7407
142,3002.3648,1,34,2,0,66.4407
143,3002.3648,1,34,2,0,65.9907
144,3095.1461,1,35,2,0,65.4376
145,3174.592,1,36,2,0,65.0115
146,3174.592,1,36,2,0,64.5615
147,3269.8496,1,37,2,0,64.0544
148,3358.8483,1,38,2,0,63.8587
149,3358.8483,1,38,2,0,62.8716
150,3358.8483,1,38,2,0,62.5716
151,3358.8483,1,38,2,0,62.1685
152,3358.8483,1,38,2,0,61.8114
153,3448.788,1,39,2,0,61.1847
154,3448.788,1,39,2,0,60.4347
155,3448.788,1,39,2,0,59.6847
156,3448.788,1,39,2,0,58.9347
157,3448.788,1,39,2,0,58.1847
158,3633.9343,1,41,2,0,57.4591
159,3633.9343,1,41,2,0,56.8589
160,3633.9343,1,41,2,0,56.2589
161,3808.7623,2,43,2,0,55.6469
162,3808.7623,2,43,2,0,54.8969
163,3808.7623,2,43,2,0,54.2702
164,3808.7623,2,43,2,0,53.526
165,3808.7623,3,43,2,0,52.9502
