time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
0,0.0,0,0,0,0,120.0
1,0.0,0,0,0,0,120.0
2,0.0,0,0,0,0,120.0
3,0.0,0,0,0,0,120.0
4,0.0,0,0,0,0,120.0
5,0.0,0,0,0,0,120.0
6,0.0,0,0,0,0,120.0
7,0.0,0,0,0,0,120.0
8,0.0,0,0,0,0,120.0
9,0.0,0,0,0,0,119.85
10,0.0,0,0,0,0,119.7
11,0.0,0,0,0,0,119.4
12,0.0,0,0,0,0,118.8
13,0.0,0,0,0,0,118.2
14,0.0,0,0,0,0,117.6
15,192.3377,0,2,0,0,116.9729
16,192.3377,0,2,0,0,116.2229
17,375.9256,0,4,0,0,115.6043
18,375.9256,0,4,0,0,114.5543
19,375.9256,0,4,0,0,113.4772
20,375.9256,0,4,0,0,112.5772
21,375.9256,0,4,0,0,111.5272
22,375.9256,0,4,0,0,110.4772
23,375.9256,0,4,0,0,109.4272
24,375.9256,0,4,0,0,108.4671
25,375.9256,0,4,0,0,107.4171
26,466.9529,0,5,0,0,106.5298
27,741.1836,0,8,0,0,106.0015
28,837.5714,0,9,0,0,105.1995
29,837.5714,0,9,0,0,104.2995
30,837.5714,0,9,0,0,103.3995
31,837.5714,0,9,0,0,102.4995
32,837.5714,0,9,0,0,101.5475
33,837.5714,0,9,0,0,100.6475
34,1013.3195,0,11,0,0,99.9932
35,1013.3195,0,11,0,0,99.3644
36,1013.3195,0,11,0,0,98.8752
37,1013.3195,0,11,0,0,98.4192
38,1013.3195,0,11,0,0,97.9692
39,1013.3195,0,11,0,0,97.5192
40,1109.6891,0,12,0,0,97.1642
41,1109.6891,0,12,0,0,96.5642
42,1109.6891,0,12,0,0,95.9642
43,1203.4014,0,13,0,0,95.2329
44,1299.8361,0,14,0,0,94.6836
45,1299.8361,0,14,0,0,94.0836
46,1299.8361,0,14,0,0,93.4836
47,1299.8361,0,14,0,0,92.7336
48,1299.8361,0,14,0,0,92.0894
49,1299.8361,0,14,0,0,91.5081
50,1299.8361,1,14,0,0,91.0581
51,1299.8361,1,14,0,0,90.4581
52,1389.5675,1,15,0,0,89.9467
53,1389.5675,1,15,0,0,89.3467
54,1389.5675,1,15,0,0,88.8339
55,1480.1191,1,16,0,0,88.4259
56,1480.1191,1,16,0,0,87.9759
57,1573.5034,1,17,0,0,87.3732
58,1573.5034,1,17,0,0,86.6232
59,1573.5034,1,17,0,0,85.8732
