time,station_id,node_id,queue_length,occupied_piles,waiting_vehicles,charging_slots
79,0,26,0,0,[],"[None, None]"
79,1,27,0,0,[],"[None, None]"
80,0,26,0,0,[],"[None, None]"
80,1,27,0,0,[],"[None, None]"
81,0,26,0,0,[],"[None, None]"
81,1,27,0,0,[],"[None, None]"
82,0,26,0,0,[],"[None, None]"
82,1,27,0,0,[],"[None, None]"
83,0,26,0,0,[],"[None, None]"
83,1,27,0,0,[],"[None, None]"
84,0,26,0,0,[],"[None, None]"
84,1,27,0,0,[],"[None, None]"
85,0,26,0,0,[],"[None, None]"
85,1,27,0,0,[],"[None, None]"
86,0,26,0,0,[],"[None, None]"
86,1,27,0,0,[],"[None, None]"
87,0,26,0,0,[],"[None, None]"
87,1,27,0,0,[],"[None, None]"
88,0,26,0,0,[],"[None, None]"
88,1,27,0,0,[],"[None, None]"
89,0,26,0,0,[],"[None, None]"
89,1,27,0,0,[],"[None, None]"
90,0,26,0,0,[],"[None, None]"
90,1,27,0,0,[],"[None, None]"
91,0,26,0,0,[],"[None, None]"
91,1,27,0,0,[],"[None, None]"
92,0,26,0,0,[],"[None, None]"
92,1,27,0,0,[],"[None, None]"
93,0,26,0,0,[],"[None, None]"
93,1,27,0,0,[],"[None, None]"
94,0,26,0,0,[],"[None, None]"
94,1,27,0,0,[],"[None, None]"
95,0,26,0,0,[],"[None, None]"
95,1,27,0,0,[],"[None, None]"
96,0,26,0,0,[],"[None, None]"
96,1,27,0,0,[],"[None, None]"
97,0,26,0,0,[],"[None, None]"
97,1,27,0,0,[],"[None, None]"
98,0,26,0,0,[],"[None, None]"
98,1,27,0,0,[],"[None, None]"
99,0,26,0,0,[],"[None, None]"
99,1,27,0,0,[],"[None, None]"
100,0,26,0,0,[],"[None, None]"
100,1,27,0,0,[],"[None, None]"
101,0,26,0,0,[],"[None, None]"
101,1,27,0,0,[],"[None, None]"
102,0,26,0,0,[],"[None, None]"
102,1,27,0,0,[],"[None, None]"
103,0,26,0,0,[],"[None, None]"
103,1,27,0,0,[],"[None, None]"
104,0,26,0,0,[],"[None, None]"
104,1,27,0,0,[],"[None, None]"
105,0,26,0,0,[],"[None, None]"
105,1,27,0,0,[],"[None, None]"
106,0,26,0,0,[],"[None, None]"
106,1,27,0,0,[],"[None, None]"
107,0,26,0,0,[],"[None, None]"
107,1,27,0,0,[],"[None, None]"
108,0,26,0,0,[],"[None, None]"
108,1,27,0,0,[],"[None, None]"
109,0,26,0,0,[],"[None, None]"
109,1,27,0,0,[],"[None, None]"
110,0,26,0,0,[],"[None, None]"
110,1,27,0,0,[],"[None, None]"
111,0,26,0,0,[],"[None, None]"
111,1,27,0,0,[],"[None, None]"
112,0,26,0,0,[],"[None, None]"
112,1,27,0,0,[],"[None, None]"
113,0,26,0,0,[],"[None, None]"
113,1,27,0,0,[],"[None, None]"
114,0,26,0,0,[],"[None, None]"
114,1,27,0,0,[],"[None, None]"
115,0,26,0,0,[],"[None, None]"
115,1,27,0,0,[],"[None, None]"
116,0,26,0,0,[],"[None, None]"
116,1,27,0,0,[],"[None, None]"
117,0,26,0,0,[],"[None, None]"
117,1,27,0,0,[],"[None, None]"
118,0,26,0,0,[],"[None, None]"
118,1,27,0,0,[],"[None, None]"
119,0,26,0,0,[],"[None, None]"
119,1,27,0,0,[],"[None, None]"
120,0,26,0,0,[],"[None, None]"
120,1,27,0,0,[],"[None, None]"
121,0,26,0,0,[],"[None, None]"
121,1,27,0,0,[],"[None, None]"
122,0,26,0,0,[],"[None, None]"
122,1,27,0,0,[],"[None, None]"
123,0,26,0,0,[],"[None, None]"
123,1,27,0,0,[],"[None, None]"
124,0,26,0,0,[],"[None, None]"
124,1,27,0,0,[],"[None, None]"
125,0,26,0,0,[],"[None, None]"
125,1,27,0,0,[],"[None, None]"
126,0,26,0,0,[],"[None, None]"
126,1,27,0,0,[],"[None, None]"
127,0,26,0,0,[],"[None, None]"
