time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
135,3418.6609,3,39,1,0,54.7019
136,3445.0687,2,40,2,0,54.9365
137,3532.7081,2,41,2,0,55.2059
138,3532.7081,3,41,2,0,55.3589
139,3532.7081,2,41,2,0,55.5372
140,3622.1497,2,42,2,0,55.7608
141,3622.1497,3,42,2,0,55.9108
142,3622.1497,3,42,2,0,56.1131
143,3714.3655,3,43,2,0,56.3991
144,3714.3655,3,43,2,0,56.5564
145,3714.3655,2,43,2,0,56.7064
146,3714.3655,2,43,2,0,56.8564
147,3714.3655,3,43,2,0,57.0064
148,3714.3655,4,43,2,0,57.1564
149,3800.5144,4,44,2,0,57.5211
150,3800.5144,5,44,2,0,57.7381
151,3887.8515,4,45,2,0,58.8303
152,3887.8515,4,45,2,0,59.7303
153,3887.8515,4,45,2,0,60.6303
154,3887.8515,4,45,2,0,61.5303
155,3975.1864,4,46,2,0,62.4361
156,3975.1864,4,46,2,0,63.3361
157,3975.1864,3,46,2,0,63.4861
158,4066.248,3,47,2,0,63.713
159,4066.248,3,47,2,0,63.863
160,4155.5624,3,48,2,0,64.0321
161,4249.7596,3,49,2,0,64.3877
162,4249.7596,2,49,2,0,64.5377
163,4337.1006,1,50,2,0,64.0508
164,4277.1006,0,50,3,0,63.4508
165,4277.1006,0,50,3,0,62.8508
166,4374.431,0,51,3,0,62.402
167,4374.431,0,51,3,0,62.0656
168,4374.431,0,51,3,0,61.1656
169,4374.431,0,51,3,0,60.3373
170,4374.431,0,51,3,0,59.6064
171,4459.7681,0,52,3,0,59.0126
172,4459.7681,0,52,3,0,58.4126
173,4459.7681,0,52,3,0,57.8126
174,4459.7681,0,52,3,0,57.2126
175,4542.5749,0,53,3,0,56.8039
176,4542.5749,0,53,3,0,56.2069
177,4542.5749,0,53,3,0,56.3569
178,4630.1147,0,54,3,0,56.5969
179,4630.1147,0,54,3,0,56.7469
180,4630.1147,0,54,3,0,56.8969
181,4630.1147,0,54,3,0,57.0469
182,4630.1147,0,54,3,0,56.8063
183,4630.1147,0,54,3,0,56.5063
184,4630.1147,0,54,3,0,56.2063
185,4630.1147,0,54,3,0,55.7563
186,4630.1147,0,54,3,0,55.3063
187,4630.1147,1,54,3,0,54.7063
188,4723.2004,1,55,3,0,54.2039
189,4723.2004,1,55,3,0,53.7383
190,4908.0963,2,57,3,0,53.3943
191,4997.329,2,58,3,0,52.9497
192,5086.8511,3,59,3,0,52.5534
193,5086.8511,3,59,3,0,52.1034
194,5178.9908,4,60,3,0,51.7767
195,5178.9908,3,60,3,0,50.6743
196,5178.9908,4,60,3,0,49.6943
197,5178.9908,3,60,3,0,48.6443
198,5178.9908,3,60,3,0,47.5943
199,5268.8584,3,61,3,0,46.5594
200,5268.8584,2,61,3,0,45.3594
201,5268.8584,2,61,3,0,44.1648
202,5268.8584,2,61,3,0,43.1448
203,5364.3005,1,62,3,0,42.9685
204,5364.3005,1,62,3,0,42.6685
205,5451.1684,1,63,3,0,42.4298
206,5451.1684,2,63,3,0,41.9798
207,5451.1684,2,63,3,0,41.5298
208,5451.1684,2,63,3,0,41.2035
209,5538.8169,2,64,3,0,40.8728
