time,event_type,vehicle_id,node,battery,status,assigned_task,task_load,target_station,total_distance,total_score
17,step,3,0,120.0,idle,,0.0,,0.0,0.0
17,step,4,0,120.0,idle,,0.0,,0.0,0.0
18,step,0,21,95.7239,moving_to_task,1,80.0,,24.2761,95.5172
18,step,1,0,108.3367,idle,,0.0,,11.6633,95.901
18,step,2,21,108.0,moving_to_task,1,40.45,,12.0,0.0
18,step,3,0,120.0,idle,,0.0,,0.0,0.0
18,step,4,0,120.0,idle,,0.0,,0.0,0.0
19,step,0,21,94.2239,moving_to_task,1,80.0,,25.7761,95.5172
19,step,1,0,108.3367,idle,,0.0,,11.6633,95.901
19,step,2,21,106.5,moving_to_task,1,40.45,,13.5,0.0
19,step,3,0,120.0,idle,,0.0,,0.0,0.0
19,step,4,0,120.0,idle,,0.0,,0.0,0.0
20,task_finish,0,17,92.7261,moving_to_task,,0.0,,27.2739,95.5172
20,move_to_depot,0,17,92.7261,moving_to_depot,,0.0,,27.2739,95.5172
20,task_finish,2,17,105.0022,moving_to_task,,0.0,,14.9978,26.934
20,move_to_depot,2,17,105.0022,moving_to_depot,,0.0,,14.9978,26.934
20,step,0,17,92.7261,moving_to_depot,,0.0,,27.2739,148.7858
20,step,1,0,108.3367,idle,,0.0,,11.6633,95.901
20,step,2,17,105.0022,moving_to_depot,,0.0,,14.9978,26.934
20,step,3,0,120.0,idle,,0.0,,0.0,0.0
20,step,4,0,120.0,idle,,0.0,,0.0,0.0
21,step,0,17,91.2261,moving_to_depot,,0.0,,28.7739,148.7858
21,step,1,0,108.3367,idle,,0.0,,11.6633,95.901
21,step,2,17,103.5022,moving_to_depot,,0.0,,16.4978,26.934
21,step,3,0,120.0,idle,,0.0,,0.0,0.0
21,step,4,0,120.0,idle,,0.0,,0.0,0.0
22,dispatch,1,0,108.3367,moving_to_task,4,80.0,,11.6633,95.901
22,dispatch,3,0,120.0,moving_to_task,4,8.8,,0.0,0.0
22,step,0,17,89.7261,moving_to_depot,,0.0,,30.2739,148.7858
22,step,1,0,106.8367,moving_to_task,4,80.0,,13.1633,95.901
22,step,2,17,102.0022,moving_to_depot,,0.0,,17.9978,26.934
22,step,3,0,118.5,moving_to_task,4,8.8,,1.5,0.0
22,step,4,0,120.0,idle,,0.0,,0.0,0.0
23,step,0,17,88.2261,moving_to_depot,,0.0,,31.7739,148.7858
23,step,1,0,105.3367,moving_to_task,4,80.0,,14.6633,95.901
23,step,2,17,100.5022,moving_to_depot,,0.0,,19.4978,26.934
23,step,3,0,117.0,moving_to_task,4,8.8,,3.0,0.0
23,step,4,0,120.0,idle,,0.0,,0.0,0.0
24,step,0,17,86.7261,moving_to_depot,,0.0,,33.2739,148.7858
24,step,1,0,103.8367,moving_to_task,4,80.0,,16.1633,95.901
24,step,2,17,99.0022,moving_to_depot,,0.0,,20.9978,26.934
24,step,3,0,115.5,moving_to_task,4,8.8,,4.5,0.0
24,step,4,0,120.0,idle,,0.0,,0.0,0.0
25,step,0,17,85.2261,moving_to_depot,,0.0,,34.7739,148.7858
25,step,1,0,102.3367,moving_to_task,4,80.0,,17.6633,95.901
25,step,2,17,97.5022,moving_to_depot,,0.0,,22.4978,26.934
25,step,3,0,114.0,moving_to_task,4,8.8,,6.0,0.0
25,step,4,0,120.0,idle,,0.0,,0.0,0.0
26,step,0,21,83.7261,moving_to_depot,,0.0,,36.2739,148.7858
26,step,1,0,100.8367,moving_to_task,4,80.0,,19.1633,95.901
26,step,2,21,96.0022,moving_to_depot,,0.0,,23.9978,26.934
26,step,3,0,112.5,moving_to_task,4,8.8,,7.5,0.0
26,step,4,0,120.0,idle,,0.0,,0.0,0.0
27,step,0,21,82.2261,moving_to_depot,,0.0,,37.7739,148.7858
27,step,1,0,99.3367,moving_to_task,4,80.0,,20.6633,95.901
27,step,2,21,94.5022,moving_to_depot,,0.0,,25.4978,26.934
27,step,3,0,111.0,moving_to_task,4,8.8,,9.0,0.0
27,step,4,0,120.0,idle,,0.0,,0.0,0.0
28,step,0,3,80.7261,moving_to_depot,,0.0,,39.2739,148.7858
28,step,1,7,97.8367,moving_to_task,4,80.0,,22.1633,95.901
28,step,2,3,93.0022,moving_to_depot,,0.0,,26.9978,26.934
28,step,3,7,109.5,moving_to_task,4,8.8,,10.5,0.0
28,step,4,0,120.0,idle,,0.0,,0.0,0.0
29,step,0,3,79.2261,moving_to_depot,,0.0,,40.7739,148.7858
29,step,1,7,96.3367,moving_to_task,4,80.0,,23.6633,95.901
29,step,2,3,91.5022,moving_to_depot,,0.0,,28.4978,26.934
29,step,3,7,108.0,moving_to_task,4,8.8,,12.0,0.0
29,step,4,0,120.0,idle,,0.0,,0.0,0.0
30,reach_depot,0,0,77.7283,idle,,0.0,,42.2717,148.7858
30,reach_depot,2,0,90.0044,idle,,0.0,,29.9956,26.934
30,step,0,0,77.7283,idle,,0.0,,42.2717,148.7858
30,step,1,7,94.8367,moving_to_task,4,80.0,,25.1633,95.901
30,step,2,0,90.0044,idle,,0.0,,29.9956,26.934
30,step,3,7,106.5,moving_to_task,4,8.8,,13.5,0.0
30,step,4,0,120.0,idle,,0.0,,0.0,0.0
31,dispatch,0,0,77.7283,moving_to_task,6,80.0,,42.2717,148.7858
31,dispatch,2,0,90.0044,moving_to_task,6,47.66,,29.9956,26.934
31,step,0,0,76.2283,moving_to_task,6,80.0,,43.7717,148.7858
31,step,1,7,93.3367,moving_to_task,4,80.0,,26.6633,95.901
