time,event_type,task_id,status,release_time,deadline,origin_node,weight,collaborative,delivered_weight,remaining_weight,assigned_vehicles,assigned_vehicle,assigned_time,service_distance,service_duration,complete_time
16,released,24,pending,16,58,10654257336,20.72,False,0.0,20.72,{},,,0.0,0,
16,assigned,24,assigned,16,58,10654257336,20.72,False,0.0,20.72,{0: 20.72},0,16,0.0,0,
17,released,22,pending,17,91,3624285749,14.87,False,0.0,14.87,{},,,0.0,0,
17,assigned,22,assigned,17,91,3624285749,14.87,False,0.0,14.87,{1: 14.87},1,17,0.0,0,
18,released,18,pending,18,73,4787373317,15.2,False,0.0,15.2,{},,,0.0,0,
18,assigned,18,assigned,18,73,4787373317,15.2,False,0.0,15.2,{2: 15.2},2,18,0.0,0,
23,released,0,pending,23,55,12753900120,10.7,False,0.0,10.7,{},,,0.0,0,
23,assigned,0,assigned,23,55,12753900120,10.7,False,0.0,10.7,{3: 10.7},3,23,0.0,0,
25,released,1,pending,25,81,13430926228,6.31,False,0.0,6.31,{},,,0.0,0,
25,released,16,pending,25,87,6854581437,16.49,False,0.0,16.49,{},,,0.0,0,
25,assigned,16,assigned,25,87,6854581437,16.49,False,0.0,16.49,{4: 16.49},4,25,0.0,0,
25,assigned,1,assigned,25,81,13430926228,6.31,False,0.0,6.31,{5: 6.31},5,25,0.0,0,
26,released,20,pending,26,101,10057722423,23.97,False,0.0,23.97,{},,,0.0,0,
26,assigned,20,assigned,26,101,10057722423,23.97,False,0.0,23.97,{6: 23.97},6,26,0.0,0,
26,completed,24,completed,16,58,10654257336,20.72,False,20.72,0.0,{},0,16,15.0021,10,26
26,completed,22,completed,17,91,3624285749,14.87,False,14.87,0.0,{},1,17,14.4698,9,26
26,completed,18,completed,18,73,4787373317,15.2,False,15.2,0.0,{},2,18,13.0858,8,26
28,completed,16,completed,25,87,6854581437,16.49,False,16.49,0.0,{},4,25,4.8579,3,28
28,completed,1,completed,25,81,13430926228,6.31,False,6.31,0.0,{},5,25,5.9127,3,28
29,completed,0,completed,23,55,12753900120,10.7,False,10.7,0.0,{},3,23,9.6009,6,29
31,released,19,pending,31,97,8589262764,16.76,False,0.0,16.76,{},,,0.0,0,
31,assigned,19,assigned,31,97,8589262764,16.76,False,0.0,16.76,{7: 16.76},7,31,0.0,0,
36,released,12,pending,36,91,4628916388,15.38,False,0.0,15.38,{},,,0.0,0,
36,assigned,12,assigned,36,91,4628916388,15.38,False,0.0,15.38,{2: 15.38},2,36,0.0,0,
37,released,2,pending,37,91,7087277726,6.69,False,0.0,6.69,{},,,0.0,0,
37,assigned,2,assigned,37,91,7087277726,6.69,False,0.0,6.69,{1: 6.69},1,37,0.0,0,
38,released,8,pending,38,79,705816727,10.94,False,0.0,10.94,{},,,0.0,0,
38,assigned,8,assigned,38,79,705816727,10.94,False,0.0,10.94,{0: 10.94},0,38,0.0,0,
41,completed,20,completed,26,101,10057722423,23.97,False,23.97,0.0,{},6,26,22.561,15,41
43,released,17,pending,43,118,12918749506,3.57,False,0.0,3.57,{},,,0.0,0,
43,assigned,17,assigned,43,118,12918749506,3.57,False,0.0,3.57,{3: 3.57},3,43,0.0,0,
45,completed,2,completed,37,91,7087277726,6.69,False,6.69,0.0,{},1,37,12.2879,8,45
45,completed,12,completed,36,91,4628916388,15.38,False,15.38,0.0,{},2,36,13.7672,9,45
46,released,25,pending,46,80,8532645989,10.82,False,0.0,10.82,{},,,0.0,0,
46,assigned,25,assigned,46,80,8532645989,10.82,False,0.0,10.82,{4: 10.82},4,46,0.0,0,
46,completed,8,completed,38,79,705816727,10.94,False,10.94,0.0,{},0,38,12.3918,8,46
49,completed,17,completed,43,118,12918749506,3.57,False,3.57,0.0,{},3,43,9.1232,6,49
50,completed,19,completed,31,97,8589262764,16.76,False,16.76,0.0,{},7,31,29.1273,19,50
51,released,9,pending,51,90,11701102943,16.6,False,0.0,16.6,{},,,0.0,0,
51,assigned,9,assigned,51,90,11701102943,16.6,False,0.0,16.6,{5: 16.6},5,51,0.0,0,
51,completed,25,completed,46,80,8532645989,10.82,False,10.82,0.0,{},4,46,8.4797,5,51
