time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
0,0.0,0,0,0,0,120.0
1,0.0,0,0,0,0,120.0
2,0.0,0,0,0,0,120.0
3,0.0,0,0,0,0,120.0
4,0.0,0,0,0,0,120.0
5,0.0,0,0,0,0,120.0
6,0.0,0,0,0,0,120.0
7,0.0,0,0,0,0,120.0
8,0.0,0,0,0,0,120.0
9,0.0,0,0,0,0,120.0
10,0.0,0,0,0,0,120.0
11,0.0,0,0,0,0,120.0
12,0.0,0,0,0,0,120.0
13,0.0,0,0,0,0,120.0
14,0.0,0,0,0,0,120.0
15,0.0,0,0,0,0,120.0
16,0.0,0,0,0,0,119.85
17,0.0,0,0,0,0,119.55
18,0.0,0,0,0,0,119.1
19,0.0,0,0,0,0,118.65
20,0.0,0,0,0,0,118.2
21,0.0,0,0,0,0,117.75
22,0.0,0,0,0,0,117.3
23,0.0,0,0,0,0,116.7
24,0.0,0,0,0,0,116.1
25,0.0,0,0,0,0,115.2
26,269.0653,0,3,0,0,114.3942
27,269.0653,0,3,0,0,113.3442
28,461.403,0,5,0,0,112.4172
29,554.4425,0,6,0,0,111.4571
30,554.4425,0,6,0,0,110.4071
31,554.4425,0,6,0,0,109.2071
32,554.4425,0,6,0,0,108.13
33,554.4425,0,6,0,0,107.23
34,554.4425,0,6,0,0,106.33
35,554.4425,0,6,0,0,105.4714
36,554.4425,0,6,0,0,104.7144
37,554.4425,0,6,0,0,104.1142
38,554.4425,0,6,0,0,103.3642
39,554.4425,0,6,0,0,102.6142
40,554.4425,0,6,0,0,101.8642
41,637.9059,0,7,0,0,101.2581
42,637.9059,0,7,0,0,100.5081
43,637.9059,0,7,0,0,99.6081
44,637.9059,0,7,0,0,98.7081
45,818.8729,0,9,0,0,98.0526
46,909.8378,0,10,0,0,97.1134
47,909.8378,0,10,0,0,96.0634
48,909.8378,0,10,0,0,95.0134
49,1003.1639,0,11,0,0,94.1011
50,1081.8875,0,12,0,0,93.1383
51,1175.7997,0,13,0,0,91.9904
52,1175.7997,0,13,0,0,90.7904
53,1175.7997,0,13,0,0,89.5904
54,1272.1875,0,14,0,0,88.4595
55,1272.1875,0,14,0,0,87.3436
56,1272.1875,0,14,0,0,86.4313
57,1272.1875,0,14,0,0,85.7273
58,1272.1875,0,14,0,0,85.2252
59,1272.1875,0,14,0,0,84.7752
60,1459.2572,0,16,0,0,84.4868
61,1459.2572,0,16,0,0,84.0368
62,1459.2572,0,16,0,0,83.5868
63,1459.2572,0,16,0,0,83.1368
64,1459.2572,0,16,0,0,82.6868
65,1459.2572,0,16,0,0,82.0868
66,1459.2572,0,16,0,0,81.5958
67,1556.2816,0,17,0,0,81.2192
68,1556.2816,0,17,0,0,80.9192
69,1556.2816,0,17,0,0,80.6192
70,1556.2816,0,17,0,0,80.4272
71,1556.2816,0,17,0,0,80.4272
72,1556.2816,0,17,0,0,80.4272
73,1556.2816,0,17,0,0,80.4272
74,1556.2816,0,17,0,0,80.4272
75,1556.2816,0,17,0,0,80.2772
76,1556.2816,0,17,0,0,79.9772
77,1556.2816,0,17,0,0,79.6772
78,1652.6512,0,18,0,0,79.4721
79,1652.6512,0,18,0,0,79.1721
80,1652.6512,0,18,0,0,78.8721
81,1746.3636,0,19,0,0,78.5909
82,1746.3636,0,19,0,0,78.2358
83,1746.3636,0,19,0,0,77.9358
84,1746.3636,0,19,0,0,77.6358
85,1842.7982,0,20,0,0,77.4416
86,1842.7982,0,20,0,0,76.9916
87,1842.7982,0,20,0,0,76.5603
88,1842.7982,0,20,0,0,76.2603
89,1842.7982,0,20,0,0,76.0661
90,1842.7982,0,20,0,0,75.9161
91,1842.7982,0,20,0,0,75.7661
92,1842.7982,0,20,0,0,75.6161
93,1842.7982,0,20,0,0,75.4661
94,1842.7982,0,20,0,0,75.1661
95,1932.5297,0,21,0,0,74.9546
96,1932.5297,0,21,0,0,74.6546
97,1932.5297,0,21,0,0,74.3546
98,1932.5297,0,21,0,0,74.0546
99,1932.5297,0,21,0,0,73.7546
100,1932.5297,0,21,0,0,73.4546
101,1932.5297,1,21,0,0,73.1546
102,2023.0812,1,22,0,0,72.8966
103,2023.0812,1,22,0,0,72.2966
104,2023.0812,1,22,0,0,71.3966
105,2023.0812,1,22,0,0,70.5851
106,2023.0812,1,22,0,0,69.772
107,2023.0812,1,22,0,0,69.622
108,2023.0812,1,22,0,0,69.322
109,2116.4655,1,23,0,0,69.1694
110,2209.1125,1,24,0,0,68.8939
111,2209.1125,1,24,0,0,68.6358
112,2300.1466,1,25,0,0,68.5212
113,2300.1466,1,25,0,0,68.9712
114,2300.1466,1,25,0,0,69.2712
115,2300.1466,1,25,0,0,69.4212
116,2476.3339,1,27,0,0,69.8998
117,2572.183,1,28,0,0,70.2324
118,2572.183,1,28,0,0,70.6824
119,2572.183,1,28,0,0,71.1324
